"MTU (CET/CEST)","Area","Production Type","Generation (MW)"
"10/01/2024 18:00:00 - 10/01/2024 19:00:00","CTA|EE","Biomass","90.40"
"10/01/2024 19:00:00 - 10/01/2024 20:00:00","CTA|EE","Biomass","87.00"
"10/01/2024 20:00:00 - 10/01/2024 21:00:00","CTA|EE","Biomass","84.60"
"10/01/2024 21:00:00 - 10/01/2024 22:00:00","CTA|EE","Biomass","81.70"
"10/01/2024 22:00:00 - 10/01/2024 23:00:00","CTA|EE","Biomass","78.10"
"10/01/2024 23:00:00 - 11/01/2024 00:00:00","CTA|EE","Biomass","76.50"
"11/01/2024 00:00:00 - 11/01/2024 01:00:00","CTA|EE","Biomass","74.00"
"11/01/2024 01:00:00 - 11/01/2024 02:00:00","CTA|EE","Biomass","71.90"
"11/01/2024 02:00:00 - 11/01/2024 03:00:00","CTA|EE","Biomass","72.80"
"11/01/2024 03:00:00 - 11/01/2024 04:00:00","CTA|EE","Biomass","75.90"
"11/01/2024 04:00:00 - 11/01/2024 05:00:00","CTA|EE","Biomass","77.10"
"11/01/2024 05:00:00 - 11/01/2024 06:00:00","CTA|EE","Biomass","81.80"
"11/01/2024 06:00:00 - 11/01/2024 07:00:00","CTA|EE","Biomass","90.80"
"11/01/2024 07:00:00 - 11/01/2024 08:00:00","CTA|EE","Biomass","93.10"
"11/01/2024 08:00:00 - 11/01/2024 09:00:00","CTA|EE","Biomass","92.20"
"11/01/2024 09:00:00 - 11/01/2024 10:00:00","CTA|EE","Biomass","91.30"
"11/01/2024 10:00:00 - 11/01/2024 11:00:00","CTA|EE","Biomass","90.20"
"11/01/2024 11:00:00 - 11/01/2024 12:00:00","CTA|EE","Biomass","87.50"
"11/01/2024 12:00:00 - 11/01/2024 13:00:00","CTA|EE","Biomass","86.30"
"11/01/2024 13:00:00 - 11/01/2024 14:00:00","CTA|EE","Biomass","88.10"
"11/01/2024 14:00:00 - 11/01/2024 15:00:00","CTA|EE","Biomass","88.40"
"11/01/2024 15:00:00 - 11/01/2024 16:00:00","CTA|EE","Biomass","89.10"
"11/01/2024 16:00:00 - 11/01/2024 17:00:00","CTA|EE","Biomass","90.00"
"11/01/2024 17:00:00 - 11/01/2024 18:00:00","CTA|EE","Biomass","90.20"
"11/01/2024 18:00:00 - 11/01/2024 19:00:00","CTA|EE","Biomass","89.20"
"11/01/2024 19:00:00 - 11/01/2024 20:00:00","CTA|EE","Biomass","87.80"
"11/01/2024 20:00:00 - 11/01/2024 21:00:00","CTA|EE","Biomass","89.90"
"11/01/2024 21:00:00 - 11/01/2024 22:00:00","CTA|EE","Biomass","88.40"
"11/01/2024 22:00:00 - 11/01/2024 23:00:00","CTA|EE","Biomass","89.30"
"11/01/2024 23:00:00 - 12/01/2024 00:00:00","CTA|EE","Biomass","87.70"
"12/01/2024 00:00:00 - 12/01/2024 01:00:00","CTA|EE","Biomass","89.40"
"12/01/2024 01:00:00 - 12/01/2024 02:00:00","CTA|EE","Biomass","84.80"
"12/01/2024 02:00:00 - 12/01/2024 03:00:00","CTA|EE","Biomass","84.00"
"12/01/2024 03:00:00 - 12/01/2024 04:00:00","CTA|EE","Biomass","86.30"
"12/01/2024 04:00:00 - 12/01/2024 05:00:00","CTA|EE","Biomass","85.50"
"12/01/2024 05:00:00 - 12/01/2024 06:00:00","CTA|EE","Biomass","88.60"
"12/01/2024 06:00:00 - 12/01/2024 07:00:00","CTA|EE","Biomass","94.30"
"12/01/2024 07:00:00 - 12/01/2024 08:00:00","CTA|EE","Biomass","96.60"
"12/01/2024 08:00:00 - 12/01/2024 09:00:00","CTA|EE","Biomass","95.80"
"12/01/2024 09:00:00 - 12/01/2024 10:00:00","CTA|EE","Biomass","93.90"
"12/01/2024 10:00:00 - 12/01/2024 11:00:00","CTA|EE","Biomass","93.50"
"12/01/2024 11:00:00 - 12/01/2024 12:00:00","CTA|EE","Biomass","94.50"
"12/01/2024 12:00:00 - 12/01/2024 13:00:00","CTA|EE","Biomass","98.00"
"12/01/2024 13:00:00 - 12/01/2024 14:00:00","CTA|EE","Biomass","98.00"
"12/01/2024 14:00:00 - 12/01/2024 15:00:00","CTA|EE","Biomass","85.60"
"12/01/2024 15:00:00 - 12/01/2024 16:00:00","CTA|EE","Biomass","83.00"
"12/01/2024 16:00:00 - 12/01/2024 17:00:00","CTA|EE","Biomass","93.70"
"12/01/2024 17:00:00 - 12/01/2024 18:00:00","CTA|EE","Biomass","92.10"
"12/01/2024 18:00:00 - 12/01/2024 19:00:00","CTA|EE","Biomass","90.10"
"12/01/2024 19:00:00 - 12/01/2024 20:00:00","CTA|EE","Biomass","90.50"
"12/01/2024 20:00:00 - 12/01/2024 21:00:00","CTA|EE","Biomass","87.70"
"12/01/2024 21:00:00 - 12/01/2024 22:00:00","CTA|EE","Biomass","87.20"
"12/01/2024 22:00:00 - 12/01/2024 23:00:00","CTA|EE","Biomass","86.70"
"12/01/2024 23:00:00 - 13/01/2024 00:00:00","CTA|EE","Biomass","84.50"
"13/01/2024 00:00:00 - 13/01/2024 01:00:00","CTA|EE","Biomass","84.40"
